INFO [2019-09-15 10:44:44] Chain: 4, Iteration: 1000
INFO [2019-09-15 10:44:44] Chain: 5, Iteration: 1000
INFO [2019-09-15 10:44:45] Chain: 1, Iteration: 1000
INFO [2019-09-15 10:44:45] Chain: 3, Iteration: 1000
INFO [2019-09-15 10:44:45] Chain: 2, Iteration: 1000
INFO [2019-09-15 10:46:18] Chain: 4, Iteration: 2000
INFO [2019-09-15 10:46:18] Chain: 5, Iteration: 2000
INFO [2019-09-15 10:46:21] Chain: 1, Iteration: 2000
INFO [2019-09-15 10:46:22] Chain: 3, Iteration: 2000
INFO [2019-09-15 10:46:22] Chain: 2, Iteration: 2000
INFO [2019-09-15 10:47:51] Chain: 5, Iteration: 3000
INFO [2019-09-15 10:47:52] Chain: 4, Iteration: 3000
INFO [2019-09-15 10:47:56] Chain: 1, Iteration: 3000
INFO [2019-09-15 10:47:56] Chain: 3, Iteration: 3000
INFO [2019-09-15 10:47:58] Chain: 2, Iteration: 3000
INFO [2019-09-15 10:49:25] Chain: 5, Iteration: 4000
INFO [2019-09-15 10:49:28] Chain: 4, Iteration: 4000
INFO [2019-09-15 10:49:31] Chain: 1, Iteration: 4000
INFO [2019-09-15 10:49:32] Chain: 3, Iteration: 4000
INFO [2019-09-15 10:49:33] Chain: 2, Iteration: 4000
INFO [2019-09-15 10:50:58] Chain: 5, Iteration: 5000
INFO [2019-09-15 10:51:03] Chain: 4, Iteration: 5000
INFO [2019-09-15 10:51:09] Chain: 1, Iteration: 5000
INFO [2019-09-15 10:51:10] Chain: 2, Iteration: 5000
INFO [2019-09-15 10:51:10] Chain: 3, Iteration: 5000
INFO [2019-09-15 10:52:31] Chain: 5, Iteration: 6000
INFO [2019-09-15 10:52:38] Chain: 4, Iteration: 6000
INFO [2019-09-15 10:52:45] Chain: 1, Iteration: 6000
INFO [2019-09-15 10:52:45] Chain: 3, Iteration: 6000
INFO [2019-09-15 10:52:46] Chain: 2, Iteration: 6000
INFO [2019-09-15 10:54:04] Chain: 5, Iteration: 7000
INFO [2019-09-15 10:54:14] Chain: 4, Iteration: 7000
INFO [2019-09-15 10:54:20] Chain: 1, Iteration: 7000
INFO [2019-09-15 10:54:21] Chain: 3, Iteration: 7000
INFO [2019-09-15 10:54:21] Chain: 2, Iteration: 7000
INFO [2019-09-15 10:55:41] Chain: 5, Iteration: 8000
INFO [2019-09-15 10:55:53] Chain: 4, Iteration: 8000
INFO [2019-09-15 10:56:01] Chain: 2, Iteration: 8000
INFO [2019-09-15 10:56:01] Chain: 3, Iteration: 8000
INFO [2019-09-15 10:56:02] Chain: 1, Iteration: 8000
INFO [2019-09-15 10:57:22] Chain: 5, Iteration: 9000
INFO [2019-09-15 10:57:36] Chain: 4, Iteration: 9000
INFO [2019-09-15 10:57:43] Chain: 3, Iteration: 9000
INFO [2019-09-15 10:57:43] Chain: 2, Iteration: 9000
INFO [2019-09-15 10:57:45] Chain: 1, Iteration: 9000
INFO [2019-09-15 10:59:03] Chain: 5, Iteration: 10000
INFO [2019-09-15 10:59:16] Chain: 4, Iteration: 10000
INFO [2019-09-15 10:59:23] Chain: 3, Iteration: 10000
INFO [2019-09-15 10:59:24] Chain: 2, Iteration: 10000
INFO [2019-09-15 10:59:26] Chain: 1, Iteration: 10000
INFO [2019-09-18 13:09:24] Chain: 2, Iteration: 1000
INFO [2019-09-18 13:09:24] Chain: 4, Iteration: 1000
INFO [2019-09-18 13:09:25] Chain: 1, Iteration: 1000
INFO [2019-09-18 13:09:25] Chain: 3, Iteration: 1000
INFO [2019-09-18 13:09:26] Chain: 5, Iteration: 1000
INFO [2019-09-18 13:10:50] Chain: 1, Iteration: 2000
INFO [2019-09-18 13:10:50] Chain: 2, Iteration: 2000
INFO [2019-09-18 13:10:51] Chain: 3, Iteration: 2000
INFO [2019-09-18 13:10:52] Chain: 4, Iteration: 2000
INFO [2019-09-18 13:10:53] Chain: 5, Iteration: 2000
INFO [2019-09-18 13:12:14] Chain: 1, Iteration: 3000
INFO [2019-09-18 13:12:15] Chain: 2, Iteration: 3000
INFO [2019-09-18 13:12:15] Chain: 3, Iteration: 3000
INFO [2019-09-18 13:12:20] Chain: 4, Iteration: 3000
INFO [2019-09-18 13:12:20] Chain: 5, Iteration: 3000
INFO [2019-09-18 13:13:41] Chain: 1, Iteration: 4000
INFO [2019-09-18 13:13:42] Chain: 2, Iteration: 4000
